INPUT,OUTPUT,ERROR,MIN,MAX,MIN_SEED,MAX_SEED
0.217773,0.594629,0.00990834,7.50981e-05,0.0264423,709,445
0.21875,0.594629,0.0104471,0.000973066,0.0263637,14,445
0.219727,0.594727,0.011065,0.000891803,0.0262824,709,445
0.220703,0.59834,0.00862394,0.000168672,0.0232688,534,445
0.22168,0.599707,0.00824974,0.000255213,0.0231823,709,445
0.222656,0.600195,0.00826069,0.000344364,0.0230931,14,445
0.223633,0.600684,0.00832165,0.000436107,0.0249545,709,445
0.224609,0.603809,0.00760876,0.00239927,0.0248602,824,445
0.225586,0.607715,0.00654297,0.000349273,0.0218336,824,445
0.226562,0.608301,0.00732422,0.00024987,0.0217342,824,445
0.227539,0.609082,0.00712891,0.00014795,0.0226089,694,445
0.228516,0.610938,0.00664062,4.35308e-05,0.0205513,216,445
0.229492,0.612012,0.00655564,6.33696e-05,0.0204444,694,445
0.230469,0.612891,0.00647986,0.000172734,0.0203351,694,445
0.231445,0.613574,0.00654297,0.000284544,0.0202233,694,445
0.232422,0.616309,0.00740398,0.000398783,0.0189535,694,158
0.233398,0.617773,0.00743274,0.000515435,0.0190701,694,158
0.234375,0.619727,0.00754877,0.000342081,0.0191892,824,158
0.235352,0.620508,0.00718243,0.000220656,0.0202872,824,158
0.236328,0.621191,0.00828141,9.68679e-05,0.0213875,824,158
0.237305,0.622363,0.00870311,0.00100583,0.0215136,824,158
0.238281,0.622168,0.00852764,0.00113429,0.0206655,216,158
0.239258,0.624219,0.00962801,0.00166462,0.0217729,824,158
0.240234,0.625879,0.00955697,0.000554979,0.021906,5,158
0.241211,0.627148,0.0100723,0.00041962,0.0220413,5,158
0.242188,0.628125,0.0106858,0.000281994,0.0221789,5,158
0.243164,0.62832,0.0103231,0.000142116,0.0206499,5,445
0.244141,0.629297,0.0101563,1.11022e-16,0.0205078,5,445
0.245117,0.630762,0.0103116,0.00307403,0.0174338,5,445
0.246094,0.633789,0.011698,0.000290883,0.017869,824,158
0.24707,0.634277,0.0116016,0.000536941,0.0180177,824,158
0.248047,0.63584,0.0117801,0.000590538,0.0191452,824,709
0.249023,0.636816,0.011286,0.000743619,0.0202749,824,158
0.25,0.6375,0.0114768,0.00089885,0.0204301,5,158
